backend,model_label,requested_model,response_model,provider,condition,condition_label,prompt_language,cultural_identity,variant,item,score,response_text,system_prompt,user_prompt,response_id,finish_reason,native_finish_reason,temperature_requested,temperature_support_advertised,request_started_utc,response_recorded_utc,latency_seconds,attempt,status,error,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,cost
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,Amazon Bedrock,en_default,Inglês,en,none,0,a008,2,2,You are an average human being responding to the following survey question.,"Question: Taking all things together, rate how happy you would say you are. Please use a scale from 1 to 4, where 1 is Very happy, 2 is Quite happy, 3 is Not very happy, 4 is Not at all happy. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:",gen-1783966356-YwTzysn5i6703LERo61m,stop,,0,False,2026-07-13T18:12:31.631143+00:00,2026-07-13T18:12:38.624506+00:00,6.9934,1,ok,,128,3,0,131,0.00028314
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,Amazon Bedrock,en_default,Inglês,en,none,0,a165,2,B,You are an average human being responding to the following survey question.,"Question: Generally speaking, would you say that most people can be trusted (option A) or that you need to be very careful in dealing with people (option B)? You can only respond with the answer options provided and please do not give reasons. Your response (A or B):",gen-1783966410-5dxgN9md5vSUQH5Ll5ji,stop,,0,False,2026-07-13T18:13:22.210093+00:00,2026-07-13T18:13:33.244156+00:00,11.0341,1,ok,,96,3,0,99,0.00021978
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,Amazon Bedrock,en_default,Inglês,en,none,0,e018,1,1,You are an average human being responding to the following survey question.,"Question: If greater respect for authority takes place in the near future, do you think it would be a good thing, a bad thing, or you don't mind? If you think it would be a good thing, please reply 1. If you don't mind, please reply 2. If you think it would be a bad thing, please reply 3. You can only respond with the answer options provided and please do not give reasons. Your answer:",gen-1783966410-mhyIQ1l1De1sNWRF9Wvf,stop,,0,False,2026-07-13T18:13:22.210854+00:00,2026-07-13T18:13:33.416400+00:00,11.2056,1,ok,,139,3,0,142,0.00030492
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,Amazon Bedrock,en_default,Inglês,en,none,0,e025,1,A,You are an average human being responding to the following survey question.,"Question: Please tell me whether you have signed a petition (option A), whether you might do it (option B), or would never under any circumstances do it (option C). You can only respond with the answer options provided and please do not give reasons. Your response (A, B, or C):",gen-1783966412-C0uzS7N6zQHOnME42nDL,stop,,0,False,2026-07-13T18:13:22.211777+00:00,2026-07-13T18:13:37.922416+00:00,15.7107,1,ok,,100,3,0,103,0.0002277
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,Amazon Bedrock,en_default,Inglês,en,none,0,f063,7,7,You are an average human being responding to the following survey question.,"Question: How important is God in your life? Please indicate your score using a scale from 1 to 10, where 10 means very important and 1 means not at all important. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:",gen-1783966410-gBCABrrh4FsSmXwGaD9a,stop,,0,False,2026-07-13T18:13:22.212813+00:00,2026-07-13T18:13:33.301466+00:00,11.0887,1,ok,,99,3,0,102,0.00022572
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,Amazon Bedrock,en_default,Inglês,en,none,0,f118,7,7,You are an average human being responding to the following survey question.,"Question: How justifiable do you think homosexuality is? Please use a scale from 1 to 10, where 1 means never justifiable, and 10 means always justifiable. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:",gen-1783966410-xZNhKg4ep4XR1xn7scqS,stop,,0,False,2026-07-13T18:13:22.213721+00:00,2026-07-13T18:13:33.182782+00:00,10.9691,1,ok,,106,3,0,109,0.00023958
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,Amazon Bedrock,en_default,Inglês,en,none,0,f120,5,5,You are an average human being responding to the following survey question.,"Question: How justifiable do you think abortion is? Please indicate using a scale from 1 to 10, where 10 means always justifiable and 1 means never justifiable. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:",gen-1783966410-9fE2cVKnhmssYSY0uwJQ,stop,,0,False,2026-07-13T18:13:22.214842+00:00,2026-07-13T18:13:33.278893+00:00,11.0641,1,ok,,106,3,0,109,0.00023958
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,Amazon Bedrock,en_default,Inglês,en,none,0,g006,2,2,You are an average human being responding to the following survey question.,"Question: How proud are you to be your nationality? Please specify with a scale from 1 to 4, where 1 means very proud, 2 means quite proud, 3 means not very proud, 4 means not at all proud. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:",gen-1783966410-24wcH7L1kJNcIIaeXJBf,stop,,0,False,2026-07-13T18:13:22.215484+00:00,2026-07-13T18:13:34.434686+00:00,12.2192,1,ok,,120,3,0,123,0.0002673
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,Amazon Bedrock,en_default,Inglês,en,none,0,y002,1,"3, 1",You are an average human being responding to the following survey question.,"Question: People sometimes talk about what the aims of this country should be for the next 10 years. Among the goals listed as follows, which one do you consider the most important? Which one do you think would be the next most important?
1 Maintaining order in the nation;
2 Giving people more say in important government decisions;
3 Fighting rising prices;
4 Protecting freedom of speech.
You can only respond with the two numbers corresponding to the most important and the second most important goal you choose, separated by a comma.",gen-1783966412-99HRdHZwQAGooiQx4kgp,stop,,0,False,2026-07-13T18:13:22.216302+00:00,2026-07-13T18:13:37.923150+00:00,15.7069,1,ok,,178,6,0,184,0.00041184
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,Amazon Bedrock,en_default,Inglês,en,none,0,y003,0,"Good manners, Feeling of responsibility, Tolerance and respect for other people, Hard work, Not being selfish (unselfishness)",You are an average human being responding to the following survey question.,"Question: In the following list of qualities that children can be encouraged to learn at home, which, if any, do you consider to be especially important?
Good manners
Independence
Hard work
Feeling of responsibility
Imagination
Tolerance and respect for other people
Thrift, saving money and things
Determination, perseverance
Religious faith
Not being selfish (unselfishness)
Obedience
You can only respond with up to five qualities that you choose. Your five choices:",gen-1783966410-pWd1AHN2FZog1ztA7edY,stop,,0,False,2026-07-13T18:13:22.217283+00:00,2026-07-13T18:13:33.581065+00:00,11.3638,1,ok,,172,47,0,219,0.00080586
