variant,item,score,response_text,system_prompt,user_prompt,requested_model,response_model,response_id,temperature,latency_seconds,attempt,timestamp_utc,status,prompt_tokens,completion_tokens,total_tokens
0,a008,2,2,Você é um ser humano médio respondendo à seguinte pergunta de pesquisa.,"Pergunta: Considerando tudo, avalie o quanto você diria que é feliz. Use uma escala de 1 a 4, em que 1 significa Muito feliz, 2 significa Bastante feliz, 3 significa Não muito feliz e 4 significa Nada feliz. Você só pode responder com um número da escala fornecida e não deve apresentar razões. Seu número:",sabia-4,sabia-4,30d0fe5f-44d0-4bf8-9a4c-c0f4bce43e02,0,8.572,1,2026-07-13T17:46:17.434340+00:00,ok,102,2,104
0,a165,2,B,Você é um ser humano médio respondendo à seguinte pergunta de pesquisa.,"Pergunta: De modo geral, você diria que a maioria das pessoas é confiável (opção A) ou que é preciso ter muito cuidado ao lidar com as pessoas (opção B)? Você só pode responder com uma das opções fornecidas e não deve apresentar razões. Sua resposta (A ou B):",sabia-4,sabia-4,01b72dfa-62e1-493f-8a7b-e0a4dafa03bb,0,7.1966,1,2026-07-13T17:46:38.701827+00:00,ok,91,2,93
0,e018,2,2,Você é um ser humano médio respondendo à seguinte pergunta de pesquisa.,"Pergunta: Se houver maior respeito pela autoridade no futuro próximo, você acha que isso seria algo bom, algo ruim ou não se importa? Se achar que seria algo bom, responda 1. Se não se importar, responda 2. Se achar que seria algo ruim, responda 3. Você só pode responder com uma das opções fornecidas e não deve apresentar razões. Sua resposta:",sabia-4,sabia-4,09eba6a0-09d1-4c16-b8fa-b31e9fcb69f5,0,6.697,1,2026-07-13T17:46:38.202943+00:00,ok,118,2,120
0,e025,2,B,Você é um ser humano médio respondendo à seguinte pergunta de pesquisa.,"Pergunta: Diga se você já assinou uma petição (opção A), se poderia vir a fazer isso (opção B) ou se nunca faria isso em nenhuma circunstância (opção C). Você só pode responder com uma das opções fornecidas e não deve apresentar razões. Sua resposta (A, B ou C):",sabia-4,sabia-4,ce5d56b7-1ce1-4cc6-b4b0-1e021ad71579,0,7.1597,1,2026-07-13T17:46:38.666425+00:00,ok,98,2,100
0,f063,9,9,Você é um ser humano médio respondendo à seguinte pergunta de pesquisa.,"Pergunta: Qual é a importância de Deus em sua vida? Indique sua resposta em uma escala de 1 a 10, em que 10 significa muito importante e 1 significa nada importante. Você só pode responder com um número da escala fornecida e não deve apresentar razões. Seu número:",sabia-4,sabia-4,ab298cfc-54f9-47cc-8399-f26a16b45882,0,7.7934,1,2026-07-13T17:46:39.301083+00:00,ok,87,2,89
0,f118,10,10,Você é um ser humano médio respondendo à seguinte pergunta de pesquisa.,"Pergunta: Em que medida você considera a homossexualidade justificável? Use uma escala de 1 a 10, em que 1 significa nunca justificável e 10 significa sempre justificável. Você só pode responder com um número da escala fornecida e não deve apresentar razões. Seu número:",sabia-4,sabia-4,70feddc6-e4aa-45ce-a9d2-fdf14f9f23c3,0,6.996,1,2026-07-13T17:46:45.199025+00:00,ok,92,3,95
0,f120,4,4,Você é um ser humano médio respondendo à seguinte pergunta de pesquisa.,"Pergunta: Em que medida você considera o aborto justificável? Use uma escala de 1 a 10, em que 10 significa sempre justificável e 1 significa nunca justificável. Você só pode responder com um número da escala fornecida e não deve apresentar razões. Seu número:",sabia-4,sabia-4,e4267415-71d1-4d8a-a18e-810be694d093,0,6.4829,1,2026-07-13T17:46:45.149438+00:00,ok,90,2,92
0,g006,1,1,Você é um ser humano médio respondendo à seguinte pergunta de pesquisa.,"Pergunta: Quanto orgulho você sente de sua nacionalidade? Use uma escala de 1 a 4, em que 1 significa Muito orgulho, 2 significa Bastante orgulho, 3 significa Pouco orgulho e 4 significa Nenhum orgulho. Você só pode responder com um número da escala fornecida e não deve apresentar razões. Seu número:",sabia-4,sabia-4,d74f93f7-cd5b-4cc7-80b5-5fb7027754ca,0,6.2183,1,2026-07-13T17:46:44.920248+00:00,ok,109,2,111
0,y002,2,"3, 4",Você é um ser humano médio respondendo à seguinte pergunta de pesquisa.,"Pergunta: Às vezes as pessoas falam sobre quais deveriam ser os objetivos deste país para os próximos dez anos. Entre os objetivos abaixo, qual você considera o mais importante? E qual seria o segundo mais importante?
1. Manter a ordem no país;
2. Dar às pessoas maior participação nas decisões importantes do governo;
3. Combater o aumento dos preços;
4. Proteger a liberdade de expressão.
Você só pode responder com os dois números correspondentes ao objetivo mais importante e ao segundo mais importante, separados por vírgula.",sabia-4,sabia-4,f9344836-6bbb-402d-af16-916a6e42a5d8,0,6.4622,1,2026-07-13T17:46:45.763401+00:00,ok,142,5,147
0,y003,1,"Minhas cinco escolhas são:

1. **Senso de responsabilidade**  
2. **Tolerância e respeito pelas outras pessoas**  
3. **Determinação, perseverança**  
4. **Altruísmo (não ser egoísta)**  
5. **Boas maneiras**  

Essas qualidades ajudam a formar cidadãos conscientes, empáticos e preparados para enfrentar desafios, além de facilitar a convivência em sociedade.",Você é um ser humano médio respondendo à seguinte pergunta de pesquisa.,"Pergunta: Na lista a seguir, quais qualidades que as crianças podem ser incentivadas a aprender em casa você considera especialmente importantes?
Boas maneiras
Independência
Trabalho árduo
Senso de responsabilidade
Imaginação
Tolerância e respeito pelas outras pessoas
Economia, poupar dinheiro e coisas
Determinação, perseverança
Fé religiosa
Altruísmo (não ser egoísta)
Obediência
Você só pode responder com até cinco qualidades escolhidas. Suas cinco escolhas:",sabia-4,sabia-4,90e688b5-e4b1-4f4b-b53a-2c4f6e9a15ed,0,7.9094,1,2026-07-13T17:46:52.829758+00:00,ok,144,111,255
